Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-23,87,165,86,23,55,66,221,12,49
2026-08-24,47,134,93,19,38,38,201,19,226
2026-08-25,30,102,85,53,33,41,256,17,219
2026-08-26,138,146,93,18,178,28,206,79,352
2026-08-27,119,39,27,72,82,6,79,38,157
2026-08-28,42,135,110,35,40,32,354,13,90
2026-08-29,112,233,49,30,139,99,80,41,129
2026-08-30,224,65,101,6,274,17,232,77,25
2026-08-31,42,19,12,55,30,3,37,18,53
2026-09-01,122,178,15,40,80,54,37,25,198
2026-09-02,75,183,52,26,81,43,96,44,280
2026-09-03,101,24,19,5,85,6,42,38,104
2026-09-04,168,129,19,55,116,34,31,40,186
2026-09-05,76,292,100,21,97,101,275,30,164
2026-09-06,68,234,163,5,60,45,429,33,119
2026-09-07,22,86,141,61,26,35,343,10,275
2026-09-08,75,202,58,21,78,35,133,23,273
2026-09-09,161,100,127,47,139,32,216,49,236
2026-09-10,72,86,103,47,46,18,178,29,142
2026-09-11,119,26,15,34,114,6,50,28,327
2026-09-12,85,176,123,6,87,35,396,58,9
2026-09-13,237,157,24,10,170,53,82,84,29
2026-09-14,45,122,35,64,45,32,56,17,85
2026-09-15,36,67,110,34,26,10,177,17,348
2026-09-16,33,172,149,22,32,72,466,8,196
2026-09-17,45,105,128,55,62,40,205,34,314
2026-09-18,98,41,163,51,85,6,472,39,170
2026-09-19,129,230,177,9,168,91,429,85,158
2026-09-20,64,123,180,25,43,53,629,16,49
2026-09-21,121,19,165,8,86,4,337,40,48
